id,name,age,gender,city,country,credit_card,full_address,user_sign_up_date,user_last_purchase_date,user_status,user_total_purchases,user_segment,user_location,user_source_type,user_last_login_date,user_purchase_frequency,product_name,category,subcategory,price,date_purchase,quantity,rating,comment
270,Kelly Patel,-3,M,Geraldhaven,Australia,2463675594281292,"790 Rogers Skyway Apt. 006, New Bryanhaven, WY 95762",2023-04-13,2023-08-04,Active,6,Frequent Shopper,New Sheriberg,Paid Ads,2023-08-21,Monthly,SofaDeluxe,Furniture,Sofa,572,2021-10-29,9,6,Manager food learn student recognize hear.
1207,Christina Chan,80,M,South Jaimefort,Saint Helena,5509431104680675,"69762 Jennifer Tunnel Suite 633, Richardsonfort, NJ 26037",2022-05-17,2023-01-20,Churned,4,Occasional Shopper,Lake Jennifer,Paid Ads,2023-05-03,Yearly,UltraSpeaker,Electronics,Speaker,-36,2023-02-19,7,3,Argue number will.
785,Brittany Garcia,100,F,Lake Ericaberg,Bermuda,5430007819649884,"6669 Anderson Key, Harrisonshire, MD 93225",2023-07-28,2023-08-02,Active,2,Occasional Shopper,Port Bryan,Referral,2023-08-02,Monthly,ShirtFits,Clothing,Shirt,150,2022-08-28,9,5,Artist lead executive just past worker.
140,Amy Mckenzie,150,F,Port Autumnburgh,Georgia,2226038509830901,"355 Hayes Square Suite 846, South Josephside, NY 45006",2022-05-30,2022-12-30,Churned,12,High Value,Port Patricia,Organic Search,2023-05-12,Yearly,,Electronics,Phone,-64,2022-05-08,0,3,Need stop watch teach season particular consumer difficult.
96,Madison Mooney,37,F,West Kevinmouth,Croatia,2709286589909253,"173 Dorothy Village, Dannymouth, OR 02533",2022-10-14,2022-12-30,Churned,7,Frequent Shopper,Lewisberg,Paid Ads,2023-06-22,Yearly,SpeakerPro,Electronics,Speaker,-90,2022-03-02,-2,0,Up window thing nation eye thousand.
433,Tyler Myers,150,F,South John,Russian Federation,2720485746460698,"49009 Julia Center, Mckinneytown, WI 60913",2021-10-21,2023-03-07,Churned,10,Frequent Shopper,Carolchester,Paid Ads,2023-07-14,Yearly,VegetablesBurst,Grocery,Vegetables,639,2021-04-29,7,4,Off develop around difference management certain.
213,Mr. Alan Greene,-5,F,Codymouth,Nigeria,2720613074048740,"5877 Robin Gateway Apt. 227, West Troy, MD 94320",2022-01-08,2022-10-16,Churned,15,High Value,Perezfurt,Paid Ads,2023-07-09,Yearly,MegaSpeaker,Electronics,Speaker,909,2021-12-04,1,6,Weight actually which culture unit identify increase.
1035,Donna Villa,1,F,East Isaiahhaven,Congo,2282879907004875,"6784 Vasquez Junction Apt. 537, Johnsland, NY 33424",2023-07-04,2023-07-16,Active,14,High Value,East Nicole,Organic Search,2023-07-19,Yearly,JacketWear,Clothing,Jacket,-74,2021-11-30,-5,-1,Nothing leader international itself manage.
1489,Natasha Blackwell,5,M,Lake Johnathantown,Grenada,5178282888072468,"77542 Amber Islands, North Anthony, CA 16825",2022-04-16,2023-04-12,Churned,9,Frequent Shopper,Gabrielland,Referral,2023-08-21,Yearly,FreshBeverages,Grocery,Beverages,-57,2022-11-08,3,6,Purpose wrong civil event thank should institution fill.
180,Raymond Anderson,64,M,Millerborough,Mozambique,5204496354111760,"94507 Jerry Squares Suite 962, Dukemouth, AR 06517",2023-07-24,2023-07-27,Active,6,Frequent Shopper,South Marcbury,Organic Search,2023-08-16,Yearly,,Grocery,Snacks,440,2022-12-16,-2,5,Society how start activity miss room international.
