CustomerID,Name,Email,Age,Gender,Location,ProductID,Category,Subcategory,Price,Weight,Dimensions,OrderID,DateOrder,TotalAmount,ShippingMethod,Status,InventoryID,StockLevel,RestockThreshold,LastRestockDate,WarehouseID,LocationWarehouse,Capacity,SupplierID,Company,LocationSupplier,QualityScore
2673,Sydney Gordon,rpennington@example.org,41,Male,Charleschester,0,Electronics,Smart Watches,235.73,4.71,32x32x40,2673,2022-08-23,£1343.36,Standard,Cancelled,2673,970,147,2020-09-13,395,North Michael,18251,2,Miller-Pearson,Clarkmouth,9.83
1568,Ryan Gray,amberbowman@example.org,36,Male,Garciaville,1,Electronics,Cameras,609.93,17.12,32x46x3,1568,04-21-2022,$2384.01,Two-day,Shipped,1568,386,129,2021-06-04,42,Harrisside,19264,8,Parks-Gallegos,Jenkinsside,6.82
8311,William Gay,danielhuang@example.net,40,Male,Millerport,4,Clothing,T-Shirts,994.68,26.56,15x7x46,8311,07-03-2021,£1669.1,Standard,Delivered,8311,688,357,2021-08-06,162,Christophermouth,19145,0,Johnson-Rodriguez,Port Robynmouth,
350,Kathleen Hill,bishopdenise@example.net,39,Male,Boyleside,48,Clothing,Jeans,773.79,21.1,31x43x2,350,2020-09-14,£189.62,Express,Delivered,350,314,483,2020-11-16,100,Lake John,14918,8,Parks-Gallegos,Jenkinsside,6.82
3597,Alec Hayden,jgarcia@example.com,19,Female,Port Keith,12,Clothing,Dresses,704.12,11.88,27x14x16,3597,26/07/2021,$4266.1,Two-day,Cancelled,3597,688,97,2022-03-16,15,North Jack,19244,7,Miller Group,Clarkmouth,6.56
8289,Elizabeth Smith,christopherporter@example.net,30,Female,Port Scott,9,Furniture,Beds,809.7,40.72,25x38x11,8289,2023-03-29,$2904.64,Standard,Pending,8289,749,77,2022-07-10,300,Lopezfurt,13746,3,Johnson-Rodriguez,Katherineborough,7.4
7691,Michael Lee,rogerthompson@example.com,38,Female,Nolanside,1,Electronics,Cameras,8.2,43.37,29x3x36,7691,28/12/2021,€1058.37,Express,Cancelled,7691,141,115,2022-06-11,258,Staceyfort,11290,2,Miller-Pearson,Clarkmouth,9.83
1375,Anthony Miller,xgarza@example.com,70,Male,Lake Sarahton,11,Clothing,Hats,235.24,9.68,27x22x2,1375,03/12/2021,€2986.8,Express,Shipped,1375,68,64,2020-09-05,62,Castilloshire,7702,8,Parks-Gallegos,Jenkinsside,6.82
6312,Blake Tucker,burtonphillip@example.com,24,Male,East Cherylbury,3,Furniture,Cabinets,763.56,21.04,36x34x29,6312,11-10-2022,$341.81,Two-day,Cancelled,6312,522,443,2020-11-26,336,Martinezport,17218,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
9642,Mark Velasquez PhD,jessebray@example.org,37,Female,Williamsmouth,21,Furniture,Sofas,87.4,28.71,45x15x37,9642,01-10-2023,$1531.74,Two-day,Shipped,9642,888,480,2021-03-05,98,Whitemouth,9656,2,Miller-Pearson,Clarkmouth,9.83
